sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,survival_score
Real Estate Tech,Mecca,2012,12,Series A,7288,4,9,3,17,Series A,0,1,1,58.3
Healthtech,Dammam,2016,8,Series A,12306,2,9,2,10,Series A,0,0,0,47.2
Real Estate Tech,Dammam,2022,2,Series C,81746,4,21,2,16,Series C,0,1,0,84.2
E-commerce,Jeddah,2021,3,Series B,30286,4,11,4,9,Series B,0,0,0,42.3
Healthtech,Dammam,2010,14,Pre-Seed,294,1,2,3,23,Pre-Seed,0,0,0,49.9
Real Estate Tech,Dammam,2017,7,Series B,36769,5,17,3,12,Series B,0,1,1,61.9
Fintech,Jeddah,2021,3,Pre-Seed,367,2,1,2,4,Pre-Seed,0,0,0,29.1
Agritech,Mecca,2010,14,Series A,10112,3,6,2,3,Series A,0,0,0,59.3
E-commerce,Riyadh,2016,8,Series B,22162,5,14,3,18,Series B,0,0,0,56.5
E-commerce,Mecca,2015,9,Pre-Seed,264,1,1,2,17,Pre-Seed,0,0,0,57.7
Fintech,Riyadh,2019,5,Series B,17773,5,15,2,10,Series B,0,0,0,62.3
E-commerce,Jeddah,2017,7,Series B,29245,5,14,3,26,Series B,0,0,0,35.1
Healthtech,Riyadh,2015,9,Seed,1884,3,6,3,33,Seed,0,0,1,27.7
Healthtech,Jeddah,2014,10,Seed,2743,2,6,3,30,Seed,0,0,0,43.7
Edtech,Jeddah,2018,6,Seed,999,2,3,3,32,Seed,0,0,1,52.5
Fintech,Abha,2013,11,Growth,386088,5,48,4,27,Growth,1,0,0,57.4
Real Estate Tech,Medina,2016,8,Pre-Seed,204,1,2,2,24,Pre-Seed,0,1,1,43.3
Logistics Tech,Mecca,2015,9,Series A,10381,4,7,1,25,Series A,0,0,0,39.0
HR Tech,Riyadh,2019,5,Pre-Seed,418,2,1,3,24,Pre-Seed,0,0,1,56.5
Fintech,Abha,2015,9,Pre-Seed,253,1,2,1,19,Pre-Seed,1,0,1,37.1
E-commerce,Riyadh,2020,4,Series A,4070,3,6,2,21,Series A,0,0,1,66.9
Real Estate Tech,NEOM,2021,3,Seed,681,3,3,3,20,Seed,0,1,0,47.5
Fintech,Riyadh,2014,10,Growth,323628,8,39,3,37,Growth,0,0,1,55.9
Real Estate Tech,Jeddah,2011,13,Seed,726,1,4,3,18,Seed,0,0,1,37.8
Fintech,Mecca,2013,11,Seed,847,3,6,2,19,Seed,1,0,1,53.3
Edtech,Mecca,2010,14,Pre-Seed,274,2,1,4,29,Pre-Seed,0,0,0,30.6
Healthtech,Jeddah,2018,6,Series C,67213,5,18,3,21,Series C,0,0,1,52.2
Fintech,Dammam,2018,6,Pre-Seed,193,2,2,3,24,Pre-Seed,0,0,0,37.7
Fintech,Riyadh,2017,7,Seed,2424,3,6,2,19,Seed,0,0,1,43.0
Logistics Tech,Jeddah,2013,11,Seed,2187,1,3,2,18,Seed,0,0,0,46.4
Fintech,Jeddah,2014,10,Seed,2347,3,6,2,27,Seed,1,0,0,42.6
Healthtech,Riyadh,2010,14,Series A,10465,4,4,3,1,Series A,0,0,0,52.6
Real Estate Tech,Riyadh,2013,11,Series A,7348,3,8,3,20,Series A,0,1,0,56.3
Healthtech,Riyadh,2013,11,Pre-Seed,238,2,3,3,1,Pre-Seed,0,0,0,47.0
Real Estate Tech,Jeddah,2014,10,Seed,2456,2,3,2,1,Seed,0,1,0,41.7
Fintech,Riyadh,2011,13,Series B,38012,3,9,3,1,Series B,1,0,0,58.8
Real Estate Tech,Riyadh,2011,13,Seed,2307,3,4,3,23,Seed,0,0,0,33.8
Fintech,Riyadh,2021,3,Pre-Seed,456,1,2,3,5,Pre-Seed,1,0,1,53.3
E-commerce,Jeddah,2011,13,Seed,1124,3,5,4,11,Seed,0,0,1,53.9
Edtech,Jeddah,2020,4,Pre-Seed,257,2,3,3,26,Pre-Seed,0,0,0,37.4
Real Estate Tech,Jeddah,2017,7,Pre-Seed,156,1,1,2,14,Pre-Seed,0,0,0,37.9
Fintech,Jeddah,2022,2,Seed,2226,3,5,3,12,Seed,1,0,1,52.4
E-commerce,Riyadh,2021,3,Seed,2167,1,3,2,29,Seed,0,0,0,55.6
Healthtech,Riyadh,2011,13,Pre-Seed,108,1,3,2,22,Pre-Seed,0,0,1,45.5
HR Tech,NEOM,2015,9,Series A,7605,3,9,3,13,Series A,0,0,0,55.0
Healthtech,Riyadh,2011,13,Growth,465936,7,36,2,21,Growth,0,0,0,70.9
E-commerce,Riyadh,2022,2,Growth,382013,7,47,1,6,Growth,0,0,0,66.9
Healthtech,Jeddah,2017,7,Series B,46417,4,8,3,11,Series B,0,0,1,66.2
Traveltech,Riyadh,2010,14,Seed,1801,3,6,4,32,Seed,0,0,0,47.1
Logistics Tech,Dammam,2011,13,Pre-Seed,122,1,1,4,4,Pre-Seed,0,0,1,59.0
Real Estate Tech,Riyadh,2014,10,Series B,32864,5,8,3,11,Series B,0,0,0,57.7
Real Estate Tech,Jeddah,2015,9,Pre-Seed,459,1,1,4,14,Pre-Seed,0,0,1,37.6
Real Estate Tech,Riyadh,2018,6,Pre-Seed,129,2,1,3,11,Pre-Seed,0,1,0,60.6
E-commerce,Riyadh,2015,9,Seed,2873,1,6,1,21,Seed,0,0,0,51.6
Edtech,Riyadh,2017,7,Pre-Seed,173,2,2,2,19,Pre-Seed,0,0,0,41.8
E-commerce,Dammam,2021,3,Series B,36459,4,14,2,23,Series B,0,0,0,46.3
Fintech,Mecca,2016,8,Series B,16443,3,14,2,24,Series B,1,0,0,50.2
Edtech,Riyadh,2010,14,Series A,6990,3,9,3,23,Series A,0,0,0,57.1
Logistics Tech,Dammam,2011,13,Series B,27087,5,15,2,31,Series B,0,0,1,56.8
Real Estate Tech,Jeddah,2013,11,Pre-Seed,329,2,3,3,27,Pre-Seed,0,0,0,37.6
Edtech,Mecca,2021,3,Series A,12479,2,6,2,15,Series A,0,0,0,47.1
E-commerce,Dammam,2010,14,Seed,1051,2,6,2,32,Seed,0,0,0,51.9
Agritech,Riyadh,2017,7,Series A,13644,4,5,2,11,Series A,0,0,0,61.0
Agritech,Jeddah,2013,11,Pre-Seed,203,1,1,3,13,Pre-Seed,0,0,0,29.0
E-commerce,Jeddah,2016,8,Series A,14704,3,8,3,18,Series A,0,0,1,37.9
Edtech,Riyadh,2016,8,Growth,279730,6,24,2,26,Growth,0,0,0,47.5
Agritech,Riyadh,2017,7,Pre-Seed,242,1,2,4,20,Pre-Seed,0,0,0,50.8
E-commerce,Khobar,2018,6,Pre-Seed,301,2,2,2,16,Pre-Seed,0,0,0,45.5
Real Estate Tech,Khobar,2018,6,Pre-Seed,306,2,2,2,16,Pre-Seed,0,0,0,50.2
Logistics Tech,Dammam,2016,8,Seed,2407,3,6,3,29,Seed,0,0,0,56.2
Real Estate Tech,Medina,2018,6,Seed,1785,2,5,2,17,Seed,0,1,0,37.8
E-commerce,Dammam,2014,10,Series B,16107,3,13,3,25,Series B,0,0,0,40.3
Agritech,Riyadh,2019,5,Seed,2811,1,2,3,1,Seed,0,0,1,50.9
Edtech,Riyadh,2013,11,Seed,2720,1,4,3,1,Seed,0,0,1,28.9
E-commerce,Riyadh,2012,12,Series A,14962,2,4,2,30,Series A,0,0,0,62.8
Real Estate Tech,Riyadh,2015,9,Seed,862,1,4,3,1,Seed,0,0,1,34.2
Real Estate Tech,Riyadh,2019,5,Seed,542,1,2,2,1,Seed,0,0,0,37.2
Real Estate Tech,Jeddah,2020,4,Series A,12956,3,9,1,18,Series A,0,1,0,45.8
Fintech,Dammam,2018,6,Series B,37802,3,9,2,26,Series B,1,0,1,37.9
Edtech,NEOM,2013,11,Pre-Seed,361,2,3,2,1,Pre-Seed,0,0,0,36.5
Real Estate Tech,Jeddah,2011,13,Pre-Seed,231,2,3,3,17,Pre-Seed,0,1,0,41.0
E-commerce,Khobar,2020,4,Pre-Seed,497,2,1,2,25,Pre-Seed,0,0,0,47.1
E-commerce,Jeddah,2012,12,Seed,2973,2,4,2,12,Seed,0,0,0,48.6
Cybersecurity,NEOM,2012,12,Seed,1577,3,6,3,15,Seed,0,0,1,28.2
E-commerce,Riyadh,2011,13,Series A,12613,3,8,3,25,Series A,0,0,0,63.3
Fintech,Riyadh,2022,2,Series B,47143,4,14,3,19,Series B,1,0,0,57.3
Fintech,Khobar,2018,6,Pre-Seed,454,2,2,3,16,Pre-Seed,1,0,0,49.9
Healthtech,Riyadh,2013,11,Series A,10508,2,6,2,9,Series A,0,0,1,47.4
Healthtech,Jeddah,2012,12,Seed,2741,2,5,2,10,Seed,0,0,0,46.3
E-commerce,Riyadh,2019,5,Seed,1954,3,3,2,20,Seed,0,0,0,57.4
E-commerce,Jeddah,2015,9,Series A,13627,3,8,3,14,Series A,0,0,0,42.2
Fintech,Abha,2017,7,Series C,79329,4,28,3,8,Series C,0,0,1,58.1
E-commerce,Riyadh,2020,4,Pre-Seed,244,2,3,2,6,Pre-Seed,0,0,0,62.1
E-commerce,NEOM,2017,7,Pre-Seed,375,2,2,2,1,Pre-Seed,0,0,0,55.4
Fintech,Riyadh,2019,5,Series A,4796,2,5,1,10,Series A,1,0,1,51.9
Fintech,Riyadh,2015,9,Seed,1855,1,5,3,17,Seed,1,0,0,37.4
Fintech,Riyadh,2014,10,Pre-Seed,114,1,3,3,30,Pre-Seed,0,0,0,47.2
Fintech,Dammam,2020,4,Pre-Seed,412,2,3,2,26,Pre-Seed,1,0,0,41.2
Healthtech,Riyadh,2016,8,Series A,3795,3,4,3,14,Series A,0,0,0,50.3
Fintech,Jeddah,2012,12,Seed,1800,2,4,3,13,Seed,1,0,0,42.3
Real Estate Tech,Riyadh,2021,3,Growth,375388,7,30,2,11,Growth,0,1,1,61.9
Fintech,Riyadh,2019,5,Seed,756,3,4,2,1,Seed,0,0,0,47.5
HR Tech,Dammam,2011,13,Pre-Seed,178,2,3,2,4,Pre-Seed,0,0,1,54.4
Agritech,Riyadh,2022,2,Series A,13630,2,10,2,13,Series A,0,0,0,60.4
Real Estate Tech,Riyadh,2017,7,Pre-Seed,117,1,1,2,16,Pre-Seed,0,0,0,58.8
Real Estate Tech,Riyadh,2020,4,Seed,1225,2,3,2,13,Seed,0,1,0,36.4
Real Estate Tech,Jeddah,2021,3,Seed,2444,2,3,1,6,Seed,0,1,1,46.3
E-commerce,Jeddah,2018,6,Seed,1733,2,2,1,12,Seed,0,0,0,50.0
Fintech,Riyadh,2021,3,Series B,41167,5,17,3,8,Series B,1,0,0,61.9
Edtech,Riyadh,2015,9,Pre-Seed,450,2,1,2,30,Pre-Seed,0,0,0,39.2
E-commerce,Riyadh,2013,11,Series C,50540,4,15,1,25,Series C,0,0,0,52.8
Traveltech,Riyadh,2015,9,Series B,47420,5,15,2,16,Series B,0,0,1,72.5
Fintech,NEOM,2021,3,Seed,609,1,3,2,29,Seed,1,0,0,54.4
Logistics Tech,Dammam,2016,8,Pre-Seed,123,2,2,2,21,Pre-Seed,0,0,0,62.0
Logistics Tech,Jeddah,2021,3,Seed,2197,2,3,1,19,Seed,0,0,0,49.7
Fintech,Riyadh,2017,7,Seed,999,1,2,4,18,Seed,1,0,1,40.4
E-commerce,Jeddah,2012,12,Series A,14230,4,7,2,2,Series A,0,0,1,43.7
Fintech,Dammam,2021,3,Pre-Seed,471,1,1,3,22,Pre-Seed,1,0,1,38.0
Real Estate Tech,Jeddah,2015,9,Series C,51189,6,17,4,27,Series C,0,1,1,66.0
Real Estate Tech,Dammam,2019,5,Pre-Seed,496,2,1,1,23,Pre-Seed,0,1,0,64.8
Healthtech,Jeddah,2015,9,Seed,2820,2,3,2,18,Seed,0,0,1,47.0
E-commerce,Jeddah,2019,5,Pre-Seed,211,1,2,2,21,Pre-Seed,0,0,0,26.4
HR Tech,Riyadh,2016,8,Seed,550,2,2,1,23,Seed,0,0,0,32.9
Fintech,Jeddah,2013,11,Series B,18695,5,15,3,26,Series B,0,0,0,40.8
HR Tech,Riyadh,2015,9,Series A,14789,2,5,2,22,Series A,0,0,0,52.8
Real Estate Tech,Dammam,2011,13,Pre-Seed,170,2,1,3,31,Pre-Seed,0,1,1,65.5
Logistics Tech,Dammam,2017,7,Series B,41531,3,17,2,13,Series B,0,0,0,60.7
Real Estate Tech,Dammam,2012,12,Series B,31163,4,11,3,15,Series B,0,1,0,55.6
Fintech,Riyadh,2018,6,Series A,11661,3,9,4,26,Series A,1,0,1,55.2
Agritech,Riyadh,2017,7,Series B,32845,4,12,3,23,Series B,0,0,0,78.1
Real Estate Tech,Riyadh,2021,3,Series A,7310,3,5,2,21,Series A,0,0,0,54.9
Edtech,Jeddah,2015,9,Seed,1819,1,5,2,29,Seed,0,0,1,51.4
Healthtech,NEOM,2019,5,Seed,647,3,6,4,4,Seed,0,0,1,44.8
E-commerce,Jeddah,2011,13,Pre-Seed,481,1,3,3,22,Pre-Seed,0,0,1,26.9
E-commerce,Riyadh,2017,7,Series A,12902,3,5,2,12,Series A,0,0,1,69.5
Edtech,Khobar,2020,4,Series B,32824,5,10,2,25,Series B,0,0,0,57.5
Fintech,Medina,2015,9,Series A,4029,3,4,1,12,Series A,1,0,0,29.8
Edtech,Riyadh,2020,4,Series C,108188,6,30,2,27,Series C,0,0,1,61.0
Traveltech,Jeddah,2010,14,Seed,1372,2,2,2,29,Seed,0,0,0,63.4
Fintech,Dammam,2015,9,Series A,5898,3,10,2,11,Series A,1,0,1,40.8
Fintech,Jeddah,2022,2,Series A,8127,4,4,2,6,Series A,1,0,1,40.3
Edtech,Mecca,2014,10,Series A,3723,3,10,4,21,Series A,0,0,0,45.7
E-commerce,Riyadh,2015,9,Series A,14023,4,5,2,30,Series A,0,0,0,63.4
E-commerce,Jeddah,2022,2,Pre-Seed,428,2,3,2,33,Pre-Seed,0,0,0,27.4
Fintech,Jeddah,2010,14,Pre-Seed,375,1,3,1,35,Pre-Seed,0,0,0,23.7
E-commerce,NEOM,2013,11,Growth,333536,6,38,3,8,Growth,0,0,0,62.5
Fintech,NEOM,2016,8,Pre-Seed,414,2,2,2,14,Pre-Seed,0,0,0,54.7
E-commerce,Medina,2022,2,Seed,2504,1,6,1,10,Seed,0,0,1,70.4
Logistics Tech,Jeddah,2014,10,Seed,2552,2,3,3,16,Seed,0,0,0,50.6
Real Estate Tech,Dammam,2015,9,Seed,2238,1,5,2,20,Seed,0,1,0,44.5
E-commerce,Riyadh,2011,13,Series B,37634,5,12,2,26,Series B,0,0,0,59.3
Cybersecurity,Riyadh,2017,7,Series A,13817,2,5,3,23,Series A,0,0,1,58.0
Edtech,Riyadh,2019,5,Series C,56691,6,17,1,30,Series C,0,0,0,59.0
Agritech,Dammam,2013,11,Seed,1787,1,3,2,14,Seed,0,0,0,39.2
E-commerce,Medina,2015,9,Series A,10447,2,6,2,32,Series A,0,0,0,59.0
Logistics Tech,Riyadh,2012,12,Series C,72872,4,26,1,17,Series C,0,0,1,47.2
Fintech,Riyadh,2018,6,Growth,306436,6,22,3,21,Growth,0,0,0,59.9
Fintech,Dammam,2022,2,Growth,305103,8,48,3,33,Growth,1,0,1,57.1
Real Estate Tech,Jeddah,2017,7,Series A,4889,3,5,3,1,Series A,0,1,0,47.7
E-commerce,Mecca,2015,9,Pre-Seed,263,2,1,3,18,Pre-Seed,0,0,1,59.7
Agritech,Riyadh,2018,6,Pre-Seed,452,2,3,2,1,Pre-Seed,0,0,0,54.7
Real Estate Tech,Riyadh,2019,5,Series B,31649,4,10,2,3,Series B,0,0,0,62.6
Edtech,Riyadh,2018,6,Series B,16066,5,8,1,18,Series B,0,0,1,45.9
Edtech,Riyadh,2011,13,Series A,10135,2,8,2,8,Series A,0,0,0,55.7
Healthtech,Riyadh,2018,6,Seed,1723,3,5,2,22,Seed,0,0,0,30.9
Real Estate Tech,Riyadh,2017,7,Series A,14647,2,9,3,18,Series A,0,0,0,55.7
Healthtech,Riyadh,2011,13,Seed,707,1,5,2,10,Seed,0,0,0,28.0
Real Estate Tech,Riyadh,2018,6,Seed,610,3,6,2,2,Seed,0,0,1,47.0
Fintech,Mecca,2014,10,Seed,2168,1,3,3,29,Seed,1,0,1,46.4
Cybersecurity,Riyadh,2022,2,Series C,69886,5,21,2,19,Series C,0,0,0,57.4
Fintech,Riyadh,2021,3,Pre-Seed,330,2,3,4,9,Pre-Seed,1,0,1,57.3
Fintech,NEOM,2018,6,Series A,9216,4,7,2,10,Series A,1,0,1,62.5
Agritech,Jeddah,2012,12,Seed,908,3,6,1,7,Seed,0,0,0,57.3
Real Estate Tech,Jeddah,2013,11,Series A,12852,4,9,3,18,Series A,0,0,0,45.1
Edtech,Jeddah,2010,14,Series A,5757,3,6,3,25,Series A,0,0,0,59.2
Real Estate Tech,Dammam,2020,4,Series C,124007,4,28,2,22,Series C,0,1,1,87.4
E-commerce,NEOM,2014,10,Pre-Seed,206,1,1,1,30,Pre-Seed,0,0,0,46.3
Real Estate Tech,Jeddah,2016,8,Pre-Seed,453,1,2,1,20,Pre-Seed,0,1,1,39.7
Real Estate Tech,NEOM,2022,2,Series A,10823,2,5,2,33,Series A,0,0,0,50.3
E-commerce,Jeddah,2016,8,Seed,551,3,4,3,17,Seed,0,0,0,52.8
Edtech,Riyadh,2015,9,Pre-Seed,222,1,2,2,1,Pre-Seed,0,0,0,39.8
E-commerce,NEOM,2022,2,Seed,931,2,2,1,5,Seed,0,0,0,68.3
HR Tech,Jeddah,2015,9,Series A,13791,4,6,3,14,Series A,0,0,0,58.1
Fintech,Khobar,2017,7,Pre-Seed,423,2,2,4,14,Pre-Seed,0,0,0,51.0
E-commerce,Riyadh,2020,4,Seed,2364,2,4,2,10,Seed,0,0,1,59.1
Healthtech,Riyadh,2019,5,Series B,25615,3,11,1,23,Series B,0,0,1,60.7
Traveltech,Mecca,2018,6,Seed,1374,2,6,2,29,Seed,0,0,0,66.5
Fintech,Riyadh,2013,11,Pre-Seed,368,1,3,3,1,Pre-Seed,0,0,0,51.5
Healthtech,Mecca,2013,11,Seed,1048,2,5,2,25,Seed,0,0,1,57.1
Agritech,Mecca,2017,7,Series A,4445,4,5,2,12,Series A,0,0,0,56.3
Real Estate Tech,NEOM,2014,10,Pre-Seed,475,2,2,2,1,Pre-Seed,0,0,0,55.0
Agritech,Jeddah,2019,5,Series B,25349,3,17,1,4,Series B,0,0,0,75.6
Fintech,Jeddah,2018,6,Series A,4779,4,10,2,12,Series A,1,0,0,41.0
Edtech,NEOM,2015,9,Seed,1543,1,3,2,11,Seed,0,0,0,36.6
Traveltech,Dammam,2018,6,Series C,126325,5,24,3,8,Series C,0,0,0,79.8
Edtech,Jeddah,2021,3,Seed,1741,1,5,2,4,Seed,0,0,0,53.4
E-commerce,Medina,2021,3,Pre-Seed,200,2,2,3,36,Pre-Seed,0,0,1,50.5
Fintech,Jeddah,2013,11,Series A,12921,4,7,2,18,Series A,1,0,0,35.1
Traveltech,Medina,2010,14,Series A,14861,2,6,2,23,Series A,0,0,0,40.1
E-commerce,Riyadh,2013,11,Seed,2781,3,2,2,27,Seed,0,0,0,53.9
Fintech,Riyadh,2018,6,Seed,2075,1,6,2,12,Seed,0,0,1,45.0
Edtech,Riyadh,2022,2,Seed,2525,2,3,1,15,Seed,0,0,1,29.5
E-commerce,Riyadh,2016,8,Seed,1934,1,2,2,19,Seed,0,0,0,57.1
Fintech,Dammam,2015,9,Series A,13794,4,10,1,6,Series A,1,0,1,39.1
Real Estate Tech,Riyadh,2011,13,Series A,8632,3,9,2,7,Series A,0,1,0,63.9
Fintech,Medina,2013,11,Seed,2345,1,2,3,39,Seed,0,0,1,26.0
Healthtech,Riyadh,2010,14,Seed,1463,2,5,3,43,Seed,0,0,1,29.8
Healthtech,Riyadh,2022,2,Seed,1830,3,5,2,2,Seed,0,0,0,36.5
E-commerce,Riyadh,2012,12,Seed,607,2,2,3,23,Seed,0,0,1,54.4
Logistics Tech,Jeddah,2022,2,Pre-Seed,256,2,3,3,23,Pre-Seed,0,0,0,40.3
Agritech,Riyadh,2011,13,Seed,1749,3,4,3,20,Seed,0,0,0,48.6
Healthtech,Riyadh,2022,2,Seed,1910,1,6,2,9,Seed,0,0,1,34.0
Fintech,Jeddah,2013,11,Seed,2054,3,6,2,7,Seed,0,0,0,46.7
Edtech,Riyadh,2013,11,Series B,37900,5,13,2,30,Series B,0,0,0,43.0
E-commerce,Riyadh,2020,4,Seed,618,3,6,2,35,Seed,0,0,0,58.8
Healthtech,Dammam,2018,6,Series C,89592,6,28,2,17,Series C,0,0,0,58.3
Healthtech,Riyadh,2016,8,Series B,38744,3,9,2,4,Series B,0,0,0,62.2
Real Estate Tech,Riyadh,2022,2,Growth,477966,7,30,2,15,Growth,0,1,0,51.7
Traveltech,Riyadh,2012,12,Series B,45237,5,17,2,13,Series B,0,0,0,76.5
Fintech,Riyadh,2016,8,Series A,12885,2,6,3,9,Series A,1,0,1,55.2
Edtech,Jeddah,2017,7,Series A,11211,4,9,2,15,Series A,0,0,0,59.9
Fintech,Riyadh,2021,3,Pre-Seed,189,1,1,1,26,Pre-Seed,0,0,0,48.8
Traveltech,NEOM,2016,8,Series A,6694,2,10,4,26,Series A,0,0,0,43.6
Fintech,Khobar,2017,7,Series A,8690,4,5,1,20,Series A,1,0,1,57.4
Fintech,Riyadh,2018,6,Seed,1514,2,6,3,21,Seed,1,0,0,44.7
Real Estate Tech,Abha,2010,14,Series A,7212,2,6,3,20,Series A,0,0,0,65.2
Real Estate Tech,Riyadh,2019,5,Seed,621,1,6,1,11,Seed,0,1,1,38.6
Real Estate Tech,Riyadh,2015,9,Seed,2912,2,5,2,30,Seed,0,0,0,33.1
Healthtech,Riyadh,2013,11,Seed,2753,2,4,2,4,Seed,0,0,1,32.2
E-commerce,Riyadh,2010,14,Series A,13726,4,9,4,22,Series A,0,0,0,64.7
Fintech,Jeddah,2011,13,Series B,30182,4,10,4,21,Series B,0,0,1,43.2
Real Estate Tech,Riyadh,2019,5,Series B,43767,3,12,1,37,Series B,0,1,0,53.9
Logistics Tech,Dammam,2013,11,Series B,34855,4,15,2,5,Series B,0,0,0,61.0
Edtech,Jeddah,2010,14,Pre-Seed,133,1,1,1,15,Pre-Seed,0,0,0,35.7
Edtech,Riyadh,2015,9,Series C,81474,6,17,2,8,Series C,0,0,0,66.2
Edtech,Jeddah,2010,14,Seed,2354,2,2,4,31,Seed,0,0,1,51.4
Real Estate Tech,Mecca,2022,2,Series B,44497,4,8,4,10,Series B,0,1,1,60.7
Fintech,Riyadh,2018,6,Pre-Seed,248,2,3,2,13,Pre-Seed,0,0,0,52.5
Real Estate Tech,Riyadh,2019,5,Seed,1115,3,6,2,32,Seed,0,1,1,43.0
Agritech,Riyadh,2012,12,Series A,8337,4,6,2,7,Series A,0,0,0,62.4
Cybersecurity,Riyadh,2021,3,Series A,7264,3,4,2,13,Series A,0,0,0,60.7
E-commerce,Jeddah,2020,4,Seed,1633,2,4,4,28,Seed,0,0,0,50.5
Fintech,Riyadh,2010,14,Series A,3199,3,5,3,33,Series A,1,0,0,48.5
Fintech,Jeddah,2015,9,Seed,902,2,6,2,11,Seed,1,0,1,46.4
Real Estate Tech,Jeddah,2015,9,Seed,2720,1,5,1,29,Seed,0,1,0,38.9
Healthtech,Jeddah,2016,8,Series A,6802,3,4,4,19,Series A,0,0,0,41.8
Fintech,Riyadh,2016,8,Pre-Seed,116,1,2,3,14,Pre-Seed,0,0,0,55.4
HR Tech,Riyadh,2019,5,Series A,7650,4,8,2,27,Series A,0,0,0,57.7
Real Estate Tech,Riyadh,2020,4,Pre-Seed,255,1,2,2,13,Pre-Seed,0,0,0,60.3
Traveltech,Riyadh,2013,11,Seed,1545,3,2,1,4,Seed,0,0,1,51.1
Logistics Tech,Khobar,2014,10,Seed,1945,2,5,2,1,Seed,0,0,1,52.2
Logistics Tech,Riyadh,2012,12,Seed,1675,3,2,1,20,Seed,0,0,0,30.9
Healthtech,Riyadh,2015,9,Seed,1635,3,5,2,20,Seed,0,0,0,27.0
Healthtech,Riyadh,2022,2,Series A,13032,2,10,3,19,Series A,0,0,0,50.2
Healthtech,Dammam,2016,8,Growth,403808,7,50,3,8,Growth,0,0,0,87.5
Healthtech,Dammam,2018,6,Series B,24268,4,14,2,26,Series B,0,0,1,60.2
Healthtech,Jeddah,2018,6,Series A,10441,3,10,1,25,Series A,0,0,0,44.3
Cybersecurity,Riyadh,2021,3,Seed,1306,3,4,3,28,Seed,0,0,1,38.8
Edtech,Riyadh,2022,2,Seed,885,3,6,2,16,Seed,0,0,1,35.0
Logistics Tech,Jeddah,2014,10,Pre-Seed,174,2,2,3,21,Pre-Seed,0,0,1,37.3
Agritech,Abha,2013,11,Seed,1363,2,4,2,17,Seed,0,0,0,44.4
Real Estate Tech,Jeddah,2016,8,Series B,26352,4,9,2,5,Series B,0,1,0,51.9
Fintech,Jeddah,2012,12,Seed,1955,1,4,2,20,Seed,1,0,0,41.1
E-commerce,Riyadh,2013,11,Seed,1694,1,6,3,15,Seed,0,0,1,56.1
E-commerce,Riyadh,2018,6,Seed,1166,2,6,1,10,Seed,0,0,0,59.5
Logistics Tech,Dammam,2014,10,Seed,2654,2,4,4,35,Seed,0,0,1,50.3
E-commerce,Riyadh,2019,5,Pre-Seed,426,1,1,3,1,Pre-Seed,0,0,0,61.3
Healthtech,Abha,2016,8,Series A,10387,3,7,3,17,Series A,0,0,0,45.3
E-commerce,Riyadh,2011,13,Seed,2394,2,5,4,17,Seed,0,0,0,56.0
Fintech,Riyadh,2018,6,Series A,7361,2,10,2,20,Series A,0,0,0,51.9
Healthtech,Jeddah,2014,10,Seed,822,1,2,2,12,Seed,0,0,1,47.4
Logistics Tech,Riyadh,2014,10,Series B,33748,3,12,2,1,Series B,0,0,1,56.8
Fintech,Riyadh,2013,11,Series A,7204,3,5,2,11,Series A,0,0,0,54.6
Healthtech,Riyadh,2017,7,Series B,37253,4,8,1,12,Series B,0,0,0,60.9
Healthtech,Jeddah,2020,4,Seed,2051,2,6,4,31,Seed,0,0,1,51.6
Fintech,Riyadh,2013,11,Seed,738,2,4,4,23,Seed,0,0,0,36.5
Fintech,Riyadh,2011,13,Series C,60576,4,25,3,22,Series C,1,0,0,64.5
Cybersecurity,Jeddah,2014,10,Pre-Seed,421,1,2,2,33,Pre-Seed,0,0,0,49.0
E-commerce,Riyadh,2012,12,Pre-Seed,100,2,1,3,27,Pre-Seed,0,0,1,57.7
Real Estate Tech,Khobar,2013,11,Seed,621,2,4,3,37,Seed,0,1,1,45.6
Fintech,Riyadh,2012,12,Series A,14273,3,7,2,15,Series A,1,0,0,48.5
Edtech,Jeddah,2016,8,Pre-Seed,412,2,3,2,27,Pre-Seed,0,0,0,37.1
Healthtech,Riyadh,2015,9,Series A,3184,2,4,2,16,Series A,0,0,1,46.9
Healthtech,Dammam,2011,13,Series A,14924,4,7,2,7,Series A,0,0,1,53.8
Fintech,Jeddah,2020,4,Seed,1762,2,6,1,11,Seed,0,0,0,47.0
Traveltech,Khobar,2017,7,Seed,1389,1,2,3,19,Seed,0,0,1,59.5
E-commerce,Riyadh,2014,10,Seed,2294,2,4,2,26,Seed,0,0,1,55.2
Real Estate Tech,Riyadh,2015,9,Pre-Seed,356,2,1,4,30,Pre-Seed,0,0,0,54.5
E-commerce,Jeddah,2017,7,Pre-Seed,429,2,1,3,5,Pre-Seed,0,0,1,30.5
E-commerce,Riyadh,2020,4,Seed,1322,2,4,2,16,Seed,0,0,0,58.3
Agritech,Riyadh,2020,4,Series A,12235,4,9,1,13,Series A,0,0,1,66.4
Traveltech,Mecca,2021,3,Series A,4304,2,5,2,42,Series A,0,0,0,55.5
Real Estate Tech,Riyadh,2016,8,Seed,627,3,4,2,16,Seed,0,1,0,37.9
