sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,market_growth_index,traction_score,monthly_revenue_sar,risk_category,survived_3_years,investment_score
Fintech,Riyadh,2010,14,Seed,1428,3,5,1,18,Seed,1,0,1,0.9,42.2,24695,Medium,1,50.6
Healthtech,Riyadh,2017,7,Series A,13035,4,5,3,21,Series A,0,0,0,0.78,48.8,109252,High,0,42.9
Edtech,Jeddah,2020,4,Series A,12925,2,9,2,1,Series A,0,0,1,0.58,50.5,371614,High,0,42.3
Fintech,Riyadh,2011,13,Series B,36220,3,17,1,24,Series B,1,0,0,0.9,76.6,972594,Low,1,66.6
Edtech,Riyadh,2017,7,Series B,33357,4,10,3,6,Series B,0,0,0,0.58,70.9,921028,Medium,1,56.1
Healthtech,Riyadh,2019,5,Growth,187854,8,37,2,17,Growth,0,0,1,0.78,97.8,52932791,Low,1,63.8
Fintech,Jeddah,2021,3,Series A,8647,3,8,2,11,Series A,0,0,0,0.9,40.3,80100,High,1,43.5
Fintech,Riyadh,2013,11,Series C,104046,4,18,4,12,Series C,0,0,1,0.9,77.2,8859882,Medium,1,72.3
Healthtech,Riyadh,2016,8,Series B,26992,4,14,2,34,Series B,0,0,1,0.78,70.7,1232413,Low,1,70.1
Real Estate Tech,Dammam,2014,10,Series C,68979,6,21,4,21,Series C,0,0,1,0.82,92.6,6041460,Low,1,82.2
Traveltech,Riyadh,2017,7,Pre-Seed,168,2,2,2,27,Pre-Seed,0,0,0,0.48,10.9,6567,Medium,1,61.5
Logistics Tech,Riyadh,2021,3,Growth,185724,7,45,1,19,Growth,0,0,0,0.63,87.0,64289941,Medium,0,54.1
Cybersecurity,Abha,2015,9,Seed,712,3,2,2,24,Seed,0,0,0,0.88,31.1,71454,High,1,38.5
Real Estate Tech,Jeddah,2014,10,Series B,41158,4,17,2,22,Series B,0,0,0,0.82,70.6,1623894,Low,1,66.7
HR Tech,Dammam,2010,14,Pre-Seed,481,2,3,2,20,Pre-Seed,0,0,0,0.65,26.1,2517,Medium,0,53.8
E-commerce,Riyadh,2012,12,Seed,1944,3,5,3,29,Seed,0,0,1,0.72,41.7,43881,Medium,1,58.8
Real Estate Tech,Dammam,2019,5,Seed,548,1,6,2,19,Seed,0,1,0,0.82,31.4,26962,Medium,0,55.1
Fintech,Riyadh,2018,6,Seed,731,2,3,1,40,Seed,1,0,1,0.9,31.5,75364,High,0,50.8
Fintech,Riyadh,2018,6,Pre-Seed,166,2,1,2,27,Pre-Seed,1,0,0,0.9,16.6,8228,Medium,0,55.2
Edtech,Riyadh,2014,10,Series B,24947,3,16,1,6,Series B,0,0,0,0.58,66.5,1754053,Medium,1,57.9
E-commerce,Riyadh,2012,12,Pre-Seed,151,2,2,3,16,Pre-Seed,0,0,0,0.72,24.1,2575,Medium,1,59.7
Real Estate Tech,Dammam,2015,9,Seed,922,3,5,3,21,Seed,0,1,0,0.82,31.7,14133,Medium,0,54.9
Healthtech,Riyadh,2014,10,Pre-Seed,198,1,3,4,18,Pre-Seed,0,0,1,0.78,25.2,5449,High,0,48.8
Real Estate Tech,Jeddah,2010,14,Series A,11638,2,10,1,24,Series A,0,1,1,0.82,54.7,338491,Medium,0,61.8
Healthtech,Jeddah,2011,13,Seed,1461,3,5,2,25,Seed,0,0,0,0.78,34.0,35010,Medium,1,47.8
Real Estate Tech,Jeddah,2021,3,Seed,631,3,4,2,4,Seed,0,1,1,0.82,28.8,31271,Medium,1,63.8
Logistics Tech,Riyadh,2014,10,Seed,2172,3,4,4,30,Seed,0,0,0,0.63,32.6,65048,High,0,48.0
Logistics Tech,Jeddah,2018,6,Series A,9674,2,7,2,13,Series A,0,0,0,0.63,46.4,268329,Medium,1,57.2
E-commerce,Riyadh,2021,3,Pre-Seed,204,1,2,1,12,Pre-Seed,0,0,0,0.72,15.9,8655,Medium,0,59.3
Real Estate Tech,Riyadh,2013,11,Pre-Seed,486,2,3,2,12,Pre-Seed,0,1,1,0.82,24.5,5264,Medium,1,62.8
Real Estate Tech,Abha,2018,6,Pre-Seed,245,2,2,3,26,Pre-Seed,0,0,0,0.82,15.1,3100,Medium,1,60.1
Logistics Tech,Riyadh,2012,12,Growth,181456,6,48,3,15,Growth,0,0,0,0.63,100.0,24100717,Medium,1,57.6
Real Estate Tech,Riyadh,2010,14,Seed,1641,3,2,3,11,Seed,0,0,0,0.82,33.3,6914,Medium,0,56.4
Real Estate Tech,NEOM,2015,9,Series A,4025,3,5,2,13,Series A,0,1,1,0.82,57.0,300499,Medium,0,58.2
Fintech,Riyadh,2019,5,Pre-Seed,216,2,2,4,1,Pre-Seed,1,0,1,0.9,25.4,9404,Medium,0,58.9
E-commerce,Jeddah,2016,8,Seed,1038,1,4,1,9,Seed,0,0,0,0.72,28.6,56403,Medium,1,50.5
E-commerce,Riyadh,2013,11,Pre-Seed,111,1,3,4,5,Pre-Seed,0,0,1,0.72,15.8,161,Medium,1,58.0
Agritech,Riyadh,2019,5,Pre-Seed,393,2,2,3,15,Pre-Seed,0,0,0,0.52,12.1,1357,Medium,0,53.8
Real Estate Tech,Riyadh,2014,10,Seed,1008,3,4,3,24,Seed,0,1,0,0.82,26.8,6175,Medium,1,55.6
E-commerce,Riyadh,2013,11,Seed,1181,3,5,3,23,Seed,0,0,0,0.72,30.3,59865,Medium,0,59.3
Logistics Tech,Riyadh,2012,12,Pre-Seed,152,2,2,1,30,Pre-Seed,0,0,0,0.63,21.8,5656,High,0,48.9
Logistics Tech,Jeddah,2010,14,Series A,7877,3,10,1,28,Series A,0,0,0,0.63,54.3,218280,High,0,61.1
E-commerce,Jeddah,2022,2,Growth,240872,5,50,1,12,Growth,0,0,0,0.72,96.0,47003368,Medium,0,51.9
E-commerce,Mecca,2015,9,Seed,628,1,6,1,18,Seed,0,0,1,0.72,37.8,11424,Medium,1,55.6
Real Estate Tech,Riyadh,2019,5,Series A,6148,2,5,2,17,Series A,0,0,0,0.82,47.6,94763,Medium,0,49.6
Traveltech,Jeddah,2014,10,Growth,316034,8,25,2,1,Growth,0,0,0,0.48,87.3,42813213,Low,1,72.2
Fintech,Jeddah,2020,4,Series B,39467,4,18,3,5,Series B,1,0,0,0.9,71.6,1035480,Medium,1,61.1
Traveltech,Khobar,2010,14,Seed,1466,1,6,2,16,Seed,0,0,1,0.48,33.6,55071,High,0,40.5
Edtech,Riyadh,2014,10,Series A,7656,4,5,3,16,Series A,0,0,1,0.58,57.1,270153,High,0,41.2
Healthtech,Jeddah,2015,9,Pre-Seed,298,1,2,3,23,Pre-Seed,0,0,0,0.78,18.8,8062,Medium,0,56.6
Fintech,NEOM,2019,5,Seed,1424,1,4,2,22,Seed,0,0,1,0.9,32.1,38190,High,0,38.3
E-commerce,Riyadh,2014,10,Seed,2128,1,5,2,1,Seed,0,0,0,0.72,32.5,63113,Medium,1,61.0
E-commerce,NEOM,2010,14,Pre-Seed,308,1,2,2,23,Pre-Seed,0,0,0,0.72,31.1,7841,High,0,33.0
Fintech,Riyadh,2014,10,Seed,2890,3,5,3,19,Seed,0,0,0,0.9,32.6,48535,Medium,1,48.4
Edtech,Jeddah,2019,5,Pre-Seed,438,2,3,2,24,Pre-Seed,0,0,0,0.58,9.3,7343,Medium,0,38.4
HR Tech,Khobar,2010,14,Series A,12264,2,8,2,28,Series A,0,0,0,0.65,58.1,93159,High,1,39.0
Healthtech,Jeddah,2020,4,Seed,1041,3,6,3,16,Seed,0,0,1,0.78,26.9,28681,High,1,50.8
Edtech,Riyadh,2012,12,Seed,1700,3,5,1,30,Seed,0,0,0,0.58,37.5,58606,High,0,52.8
Fintech,Riyadh,2021,3,Pre-Seed,118,2,2,3,9,Pre-Seed,0,0,1,0.9,21.9,1232,Medium,0,55.6
E-commerce,Khobar,2022,2,Pre-Seed,454,1,3,2,8,Pre-Seed,0,0,1,0.72,17.5,7830,Medium,1,55.6
Fintech,Riyadh,2011,13,Series A,9703,3,4,3,22,Series A,0,0,0,0.9,47.9,308571,High,0,52.6
Healthtech,Riyadh,2022,2,Growth,199497,8,45,4,14,Growth,0,0,0,0.78,88.6,11529998,Medium,0,64.9
Traveltech,Jeddah,2010,14,Pre-Seed,159,2,2,3,20,Pre-Seed,0,0,0,0.48,26.9,9716,Medium,0,60.2
Edtech,Riyadh,2013,11,Seed,2291,2,5,2,37,Seed,0,0,0,0.58,39.3,13251,High,1,51.1
Fintech,Riyadh,2011,13,Series B,47077,4,11,2,21,Series B,1,0,1,0.9,79.4,2084421,Medium,0,68.1
Real Estate Tech,Riyadh,2014,10,Pre-Seed,338,1,2,3,20,Pre-Seed,0,1,0,0.82,21.3,6307,Medium,0,59.5
Healthtech,Riyadh,2019,5,Series B,37204,5,18,2,9,Series B,0,0,0,0.78,60.0,1724246,Low,1,72.7
E-commerce,Jeddah,2010,14,Seed,1935,2,6,1,1,Seed,0,0,0,0.72,29.0,60564,High,0,50.1
Agritech,Jeddah,2021,3,Seed,1087,2,4,3,17,Seed,0,0,1,0.52,28.8,32393,High,1,46.5
Logistics Tech,Jeddah,2019,5,Seed,1795,3,3,2,28,Seed,0,0,0,0.63,29.3,30463,Medium,1,57.1
Healthtech,Dammam,2010,14,Seed,2894,3,3,1,14,Seed,0,0,1,0.78,30.8,27276,High,0,41.0
Real Estate Tech,NEOM,2020,4,Seed,2043,1,2,4,22,Seed,0,1,0,0.82,33.0,59719,High,0,45.3
Real Estate Tech,Jeddah,2019,5,Series B,26702,3,15,2,32,Series B,0,0,1,0.82,73.2,1003174,Medium,1,67.7
Fintech,Riyadh,2013,11,Series A,13228,2,9,2,32,Series A,0,0,1,0.9,57.0,452082,Medium,0,53.4
Real Estate Tech,Jeddah,2016,8,Series A,8524,3,9,3,22,Series A,0,0,1,0.82,58.6,281352,Medium,1,59.8
E-commerce,Riyadh,2011,13,Series B,35234,4,16,3,19,Series B,0,0,0,0.72,72.5,651432,Medium,1,63.5
Edtech,Jeddah,2011,13,Seed,2278,3,6,1,2,Seed,0,0,0,0.58,34.4,46121,High,1,48.1
Edtech,Jeddah,2010,14,Series A,11572,2,9,3,11,Series A,0,0,1,0.58,58.2,311354,High,0,42.6
Fintech,Riyadh,2014,10,Seed,2969,3,5,3,15,Seed,0,0,1,0.9,39.0,66821,Medium,1,50.2
E-commerce,Khobar,2015,9,Series B,34443,3,17,2,9,Series B,0,0,0,0.72,70.0,1674665,Low,1,69.8
Fintech,Riyadh,2022,2,Seed,1807,1,2,2,20,Seed,1,0,0,0.9,27.0,15090,Medium,1,49.5
Fintech,Jeddah,2015,9,Series A,5466,2,6,1,37,Series A,1,0,0,0.9,56.5,224096,High,1,46.2
Logistics Tech,Riyadh,2011,13,Series B,19452,3,16,3,33,Series B,0,0,1,0.63,75.8,2892450,Medium,0,49.7
Fintech,Khobar,2021,3,Seed,516,3,4,3,20,Seed,1,0,0,0.9,29.0,10282,High,0,32.0
E-commerce,Riyadh,2021,3,Pre-Seed,414,1,1,1,25,Pre-Seed,0,0,1,0.72,19.9,4452,Medium,0,59.8
Fintech,Riyadh,2016,8,Seed,1540,2,4,3,10,Seed,1,0,1,0.9,37.3,66701,Medium,0,54.0
Agritech,Riyadh,2015,9,Seed,1987,1,2,3,32,Seed,0,0,0,0.52,32.5,65999,Medium,0,55.6
Healthtech,Riyadh,2017,7,Series A,10949,4,4,2,2,Series A,0,0,1,0.78,53.3,428440,High,1,45.6
Real Estate Tech,Riyadh,2015,9,Series C,120326,4,29,3,27,Series C,0,1,1,0.82,87.1,5702210,Low,1,76.7
E-commerce,Jeddah,2018,6,Seed,569,1,6,1,22,Seed,0,0,0,0.72,23.3,69352,High,1,49.0
Edtech,Riyadh,2019,5,Seed,911,2,5,4,10,Seed,0,0,1,0.58,26.6,79945,Medium,0,55.7
HR Tech,Riyadh,2011,13,Series A,14316,3,5,2,15,Series A,0,0,1,0.65,55.7,488689,High,1,45.6
Real Estate Tech,Riyadh,2016,8,Pre-Seed,164,1,1,2,6,Pre-Seed,0,1,1,0.82,30.1,8098,Medium,1,62.2
Agritech,Dammam,2014,10,Seed,1419,3,4,3,7,Seed,0,0,0,0.52,30.3,6489,High,1,46.6
Traveltech,Jeddah,2010,14,Series C,97951,5,29,2,2,Series C,0,0,0,0.48,88.5,7113498,Low,1,76.4
Traveltech,Jeddah,2012,12,Series A,7836,4,7,3,25,Series A,0,0,1,0.48,58.7,192832,Medium,0,61.0
Healthtech,Jeddah,2013,11,Pre-Seed,321,1,2,2,30,Pre-Seed,0,0,0,0.78,17.7,4843,Medium,0,52.3
Healthtech,Riyadh,2021,3,Pre-Seed,371,2,2,4,1,Pre-Seed,0,0,0,0.78,11.1,3738,Medium,0,50.6
E-commerce,Riyadh,2011,13,Series A,5487,2,5,2,36,Series A,0,0,1,0.72,60.2,258869,Medium,0,60.3
Logistics Tech,Riyadh,2016,8,Series A,13770,2,6,2,17,Series A,0,0,0,0.63,51.3,222479,High,0,44.4
Healthtech,Dammam,2010,14,Series B,31657,4,14,4,20,Series B,0,0,0,0.78,69.6,2799014,Medium,1,62.3
Edtech,Medina,2012,12,Seed,959,1,3,3,3,Seed,0,0,1,0.58,33.4,14403,Medium,1,60.5
E-commerce,Riyadh,2021,3,Series C,50820,4,27,3,31,Series C,0,0,0,0.72,78.5,6870352,High,1,58.0
Edtech,Riyadh,2018,6,Series A,8293,3,7,4,20,Series A,0,0,0,0.58,48.7,223128,High,0,40.8
Logistics Tech,Riyadh,2020,4,Series A,5616,4,5,1,29,Series A,0,0,1,0.63,53.8,279471,High,1,41.7
Fintech,Riyadh,2011,13,Series A,9070,3,7,2,30,Series A,1,0,1,0.9,63.1,492262,Medium,0,57.5
Agritech,Jeddah,2014,10,Pre-Seed,108,2,1,2,31,Pre-Seed,0,0,0,0.52,14.4,7147,High,1,41.4
Healthtech,Riyadh,2013,11,Growth,209889,5,27,2,11,Growth,0,0,1,0.78,97.5,35144141,Low,1,67.6
Agritech,Mecca,2021,3,Pre-Seed,500,2,3,3,15,Pre-Seed,0,0,0,0.52,14.1,4146,High,0,35.5
E-commerce,Riyadh,2012,12,Seed,1295,2,6,4,11,Seed,0,0,0,0.72,32.6,61613,Medium,1,60.9
Real Estate Tech,Khobar,2014,10,Series B,22702,3,17,2,26,Series B,0,1,0,0.82,69.3,581807,High,0,53.5
Traveltech,Dammam,2015,9,Series A,8192,3,9,3,21,Series A,0,0,0,0.48,54.0,143987,Medium,0,56.7
Real Estate Tech,Dammam,2010,14,Series B,34366,5,11,4,28,Series B,0,1,1,0.82,69.9,2525080,Medium,1,59.8
Agritech,Jeddah,2011,13,Seed,2391,1,3,3,29,Seed,0,0,0,0.52,34.3,29132,High,0,41.1
E-commerce,Jeddah,2010,14,Seed,1340,2,6,2,1,Seed,0,0,0,0.72,27.5,35568,Medium,1,50.2
E-commerce,Jeddah,2012,12,Series C,81916,4,25,2,31,Series C,0,0,0,0.72,88.9,4811217,Medium,1,59.1
Real Estate Tech,Jeddah,2017,7,Pre-Seed,222,2,1,4,27,Pre-Seed,0,0,0,0.82,14.9,5142,Medium,1,63.9
Healthtech,Jeddah,2017,7,Series B,17488,4,14,4,14,Series B,0,0,1,0.78,72.2,2463885,Low,1,82.2
Real Estate Tech,Medina,2013,11,Pre-Seed,434,2,1,2,21,Pre-Seed,0,0,0,0.82,17.6,3763,Medium,0,66.7
Fintech,Jeddah,2015,9,Series B,42059,3,10,3,16,Series B,1,0,0,0.9,78.2,2587350,Medium,1,58.2
Real Estate Tech,Dammam,2021,3,Pre-Seed,277,1,2,2,24,Pre-Seed,0,1,0,0.82,9.3,9263,Medium,0,57.9
Fintech,NEOM,2018,6,Series A,14725,4,4,2,14,Series A,0,0,0,0.9,51.0,232114,Medium,1,55.2
HR Tech,Riyadh,2016,8,Series B,23500,5,18,4,22,Series B,0,0,0,0.65,64.6,2060728,Medium,0,55.8
HR Tech,Riyadh,2011,13,Seed,2536,3,5,1,18,Seed,0,0,0,0.65,34.4,26152,Medium,1,52.0
E-commerce,Riyadh,2020,4,Series A,12889,4,9,2,13,Series A,0,0,1,0.72,50.5,53877,Medium,0,66.1
Edtech,Jeddah,2011,13,Series B,39985,4,10,2,19,Series B,0,0,1,0.58,68.5,774084,Medium,0,54.5
Real Estate Tech,Dammam,2012,12,Series A,3826,2,4,2,45,Series A,0,1,1,0.82,63.1,72009,Medium,1,60.7
Edtech,Riyadh,2017,7,Series C,51192,5,21,2,11,Series C,0,0,1,0.58,85.9,9643943,Medium,0,65.1
Logistics Tech,Jeddah,2019,5,Seed,2635,1,5,2,15,Seed,0,0,0,0.63,27.0,42016,Medium,0,58.4
HR Tech,Jeddah,2018,6,Pre-Seed,102,1,2,4,11,Pre-Seed,0,0,1,0.65,19.6,2546,Medium,0,55.2
E-commerce,Riyadh,2022,2,Pre-Seed,471,2,3,4,12,Pre-Seed,0,0,0,0.72,12.5,78,Medium,0,60.9
Logistics Tech,Jeddah,2012,12,Pre-Seed,115,2,3,2,26,Pre-Seed,0,0,0,0.63,23.3,1455,Medium,0,61.7
Real Estate Tech,Dammam,2018,6,Pre-Seed,229,2,3,2,25,Pre-Seed,0,0,0,0.82,13.3,2469,Medium,0,57.6
Cybersecurity,Riyadh,2021,3,Series A,14287,2,9,3,17,Series A,0,0,0,0.88,48.4,131468,Medium,0,53.6
Fintech,Jeddah,2021,3,Pre-Seed,197,1,2,3,28,Pre-Seed,0,0,0,0.9,15.0,3664,High,0,42.1
Healthtech,Jeddah,2019,5,Pre-Seed,257,2,2,2,25,Pre-Seed,0,0,0,0.78,13.7,7440,High,0,57.0
Edtech,Riyadh,2021,3,Pre-Seed,338,1,2,2,16,Pre-Seed,0,0,1,0.58,23.2,4625,High,1,45.7
Edtech,Riyadh,2017,7,Series B,37026,3,15,2,2,Series B,0,0,1,0.58,71.1,1160867,Medium,0,57.3
Fintech,Medina,2014,10,Series A,3534,3,4,2,26,Series A,1,0,0,0.9,56.3,254597,High,1,47.1
Traveltech,Riyadh,2020,4,Seed,2915,2,3,2,19,Seed,0,0,0,0.48,28.0,39690,Medium,0,56.6
Fintech,Riyadh,2019,5,Series C,83976,4,30,3,18,Series C,0,0,0,0.9,79.3,7826402,Low,1,68.2
Healthtech,Riyadh,2012,12,Pre-Seed,316,2,1,3,13,Pre-Seed,0,0,0,0.78,24.8,4972,High,1,49.6
Real Estate Tech,Jeddah,2020,4,Growth,282310,5,43,3,25,Growth,0,1,0,0.82,96.0,72398099,Medium,1,64.6
Real Estate Tech,Jeddah,2016,8,Series A,7944,2,8,2,21,Series A,0,1,1,0.82,59.3,173754,Medium,1,63.0
Healthtech,Jeddah,2018,6,Pre-Seed,257,1,1,3,15,Pre-Seed,0,0,0,0.78,10.9,1663,Medium,0,55.2
E-commerce,Riyadh,2021,3,Series A,13136,3,6,1,5,Series A,0,0,0,0.72,37.8,68788,Medium,1,63.7
Fintech,NEOM,2015,9,Series A,13373,4,5,2,28,Series A,1,0,1,0.9,59.4,172145,Medium,1,55.7
Fintech,Riyadh,2012,12,Seed,2601,1,5,3,24,Seed,0,0,0,0.9,30.6,22592,Medium,0,47.4
E-commerce,Riyadh,2014,10,Series B,36221,4,18,2,20,Series B,0,0,0,0.72,67.9,2475392,Low,1,65.6
Logistics Tech,Riyadh,2016,8,Pre-Seed,282,1,1,2,1,Pre-Seed,0,0,0,0.63,7.4,7736,Medium,1,52.3
Traveltech,Riyadh,2017,7,Seed,523,1,2,2,17,Seed,0,0,0,0.48,34.8,13502,Medium,1,58.3
Fintech,NEOM,2022,2,Pre-Seed,205,1,1,4,15,Pre-Seed,1,0,1,0.9,20.4,7838,High,0,37.0
E-commerce,Khobar,2021,3,Pre-Seed,190,2,1,2,11,Pre-Seed,0,0,1,0.72,21.1,6678,Medium,1,55.2
Fintech,Riyadh,2013,11,Pre-Seed,218,2,3,3,25,Pre-Seed,1,0,0,0.9,18.6,3685,Medium,1,54.4
Fintech,NEOM,2011,13,Series C,83228,5,15,4,25,Series C,1,0,0,0.9,91.5,6696432,Medium,1,62.8
Edtech,Dammam,2019,5,Pre-Seed,237,1,2,3,22,Pre-Seed,0,0,1,0.58,19.0,5094,High,0,42.3
Healthtech,Khobar,2011,13,Seed,982,3,5,2,28,Seed,0,0,0,0.78,33.4,24247,Medium,1,43.2
Fintech,Riyadh,2021,3,Seed,620,2,3,1,7,Seed,1,0,0,0.9,30.8,74510,High,0,50.3
Real Estate Tech,Jeddah,2012,12,Series C,103921,4,29,2,13,Series C,0,0,1,0.82,82.8,6249698,Low,1,88.4
Fintech,Riyadh,2017,7,Growth,160448,6,48,2,18,Growth,1,0,1,0.9,100.0,16318721,Low,1,67.8
Agritech,Dammam,2010,14,Series A,8981,3,6,3,11,Series A,0,0,1,0.52,53.4,70730,Medium,1,61.7
HR Tech,Riyadh,2016,8,Growth,224046,5,49,2,25,Growth,0,0,0,0.65,92.8,58544151,Medium,1,62.0
Fintech,Jeddah,2015,9,Series B,37866,3,10,4,12,Series B,0,0,0,0.9,68.0,1422310,Medium,0,61.2
Real Estate Tech,Riyadh,2011,13,Growth,467595,6,20,2,30,Growth,0,0,1,0.82,100.0,72799817,Medium,1,64.6
Agritech,Riyadh,2018,6,Series A,12060,2,8,3,8,Series A,0,0,0,0.52,46.2,110013,Medium,1,56.8
Traveltech,Jeddah,2022,2,Pre-Seed,254,2,3,2,39,Pre-Seed,0,0,0,0.48,16.5,9224,Medium,1,59.6
E-commerce,NEOM,2021,3,Seed,894,1,4,2,38,Seed,0,0,0,0.72,24.2,31922,High,0,37.8
Fintech,Jeddah,2014,10,Series A,5553,3,6,3,17,Series A,0,0,0,0.9,49.0,106882,Medium,0,47.3
Fintech,NEOM,2011,13,Seed,1471,2,6,2,29,Seed,0,0,0,0.9,32.4,18012,High,0,35.7
Healthtech,Riyadh,2012,12,Seed,813,2,3,1,13,Seed,0,0,0,0.78,27.6,42425,High,1,44.7
E-commerce,Jeddah,2016,8,Series A,8379,3,7,2,28,Series A,0,0,0,0.72,49.7,360475,Medium,0,59.5
Fintech,Riyadh,2016,8,Series C,53229,6,29,2,16,Series C,1,0,0,0.9,90.0,7813397,Medium,0,69.7
Healthtech,Riyadh,2019,5,Pre-Seed,113,1,1,3,5,Pre-Seed,0,0,0,0.78,15.6,6747,High,1,52.6
Fintech,Jeddah,2010,14,Series A,3077,2,9,4,1,Series A,0,0,0,0.9,53.9,431530,High,0,46.9
Logistics Tech,Jeddah,2019,5,Series A,6411,4,10,1,15,Series A,0,0,0,0.63,49.0,403289,Medium,1,58.5
Real Estate Tech,Jeddah,2020,4,Growth,281481,7,41,2,20,Growth,0,0,0,0.82,89.8,71924561,Medium,1,65.2
Fintech,Jeddah,2020,4,Series C,97498,6,19,3,31,Series C,0,0,0,0.9,79.1,4896925,Medium,0,63.4
Healthtech,Jeddah,2021,3,Series A,5268,2,8,4,18,Series A,0,0,0,0.78,50.6,272676,Medium,0,49.5
E-commerce,Riyadh,2013,11,Seed,1244,3,3,4,28,Seed,0,0,0,0.72,30.1,31773,Medium,1,57.7
HR Tech,Riyadh,2015,9,Pre-Seed,393,2,1,3,13,Pre-Seed,0,0,0,0.65,20.0,6235,Medium,0,56.1
Healthtech,Jeddah,2017,7,Seed,1979,2,6,2,14,Seed,0,0,0,0.78,30.6,18000,Medium,0,50.1
Real Estate Tech,Riyadh,2012,12,Series A,8774,2,5,2,28,Series A,0,1,1,0.82,56.2,373947,Medium,1,52.6
Edtech,Riyadh,2012,12,Series C,102987,4,20,2,1,Series C,0,0,0,0.58,88.1,2656872,Medium,1,66.2
Real Estate Tech,Riyadh,2017,7,Series B,24180,3,18,2,18,Series B,0,1,1,0.82,70.8,1005111,Medium,1,61.2
Traveltech,Jeddah,2017,7,Pre-Seed,241,2,3,3,14,Pre-Seed,0,0,1,0.48,20.7,6628,Medium,0,60.8
Real Estate Tech,Riyadh,2017,7,Series A,6713,4,9,2,31,Series A,0,1,0,0.82,49.7,337300,High,0,49.6
Healthtech,Jeddah,2010,14,Seed,2054,1,2,3,12,Seed,0,0,0,0.78,34.8,65851,High,0,48.0
Fintech,Jeddah,2017,7,Pre-Seed,342,1,1,2,23,Pre-Seed,0,0,0,0.9,16.5,1037,High,0,43.7
E-commerce,Riyadh,2017,7,Pre-Seed,263,1,2,3,27,Pre-Seed,0,0,0,0.72,16.4,8878,Medium,1,60.6
Agritech,Dammam,2011,13,Pre-Seed,419,2,2,1,3,Pre-Seed,0,0,1,0.52,24.9,1603,High,1,43.7
Logistics Tech,Jeddah,2021,3,Series B,28408,3,9,2,16,Series B,0,0,1,0.63,64.0,1541502,Medium,1,63.0
Real Estate Tech,Jeddah,2018,6,Seed,528,2,6,2,13,Seed,0,0,0,0.82,22.6,51120,Medium,1,58.3
Real Estate Tech,Jeddah,2016,8,Seed,1754,2,5,3,27,Seed,0,1,0,0.82,33.2,46046,Medium,0,59.6
Logistics Tech,Riyadh,2017,7,Series C,111856,4,26,1,24,Series C,0,0,0,0.63,85.8,3844040,High,0,51.8
Traveltech,Jeddah,2011,13,Seed,2573,1,4,3,15,Seed,0,0,0,0.48,35.3,61727,High,1,50.3
Fintech,Riyadh,2013,11,Pre-Seed,274,1,3,2,7,Pre-Seed,1,0,0,0.9,26.0,5194,Medium,1,53.9
E-commerce,Mecca,2016,8,Seed,1042,1,6,2,28,Seed,0,0,0,0.72,26.8,62099,High,1,57.6
Real Estate Tech,Dammam,2015,9,Pre-Seed,264,1,3,4,17,Pre-Seed,0,1,0,0.82,22.3,5934,Medium,1,55.4
Agritech,Jeddah,2016,8,Pre-Seed,307,1,2,2,1,Pre-Seed,0,0,1,0.52,16.5,6283,High,0,45.6
Fintech,Riyadh,2010,14,Pre-Seed,201,1,2,2,2,Pre-Seed,1,0,1,0.9,27.9,4226,Medium,0,56.3
Real Estate Tech,Riyadh,2017,7,Series A,7469,2,8,2,22,Series A,0,1,0,0.82,53.6,120557,Medium,0,49.2
Logistics Tech,Riyadh,2022,2,Pre-Seed,205,1,1,4,5,Pre-Seed,0,0,0,0.63,4.7,7353,High,0,51.5
Fintech,Riyadh,2016,8,Seed,569,3,5,2,36,Seed,1,0,0,0.9,40.7,47350,Medium,0,51.1
E-commerce,Riyadh,2022,2,Series B,20640,5,9,2,8,Series B,0,0,1,0.72,59.9,2844461,Medium,1,65.3
E-commerce,Jeddah,2013,11,Seed,2159,1,2,2,17,Seed,0,0,0,0.72,38.9,52282,Medium,1,48.4
Real Estate Tech,Riyadh,2010,14,Series C,127153,6,22,2,19,Series C,0,1,0,0.82,87.6,9304034,Low,1,74.3
E-commerce,Medina,2017,7,Seed,601,2,6,2,10,Seed,0,0,1,0.72,27.6,16790,Low,0,67.3
E-commerce,Riyadh,2019,5,Seed,501,3,3,3,1,Seed,0,0,0,0.72,24.8,14002,Medium,0,66.9
Fintech,Khobar,2016,8,Series A,13591,3,5,3,19,Series A,1,0,0,0.9,52.3,56549,Medium,0,44.7
Healthtech,Khobar,2017,7,Pre-Seed,106,1,3,2,10,Pre-Seed,0,0,1,0.78,16.5,9480,High,0,45.7
Logistics Tech,Jeddah,2019,5,Pre-Seed,417,2,3,3,19,Pre-Seed,0,0,0,0.63,12.9,6491,Medium,0,63.0
Logistics Tech,Jeddah,2010,14,Series A,11378,2,5,3,16,Series A,0,0,1,0.63,57.2,126636,Medium,0,60.6
Fintech,Riyadh,2014,10,Seed,1228,3,6,4,20,Seed,1,0,1,0.9,34.9,70766,Medium,0,51.7
Fintech,Jeddah,2018,6,Series B,25702,4,14,2,33,Series B,1,0,0,0.9,73.8,1213542,Medium,0,59.0
Real Estate Tech,Riyadh,2014,10,Series C,70823,5,29,2,12,Series C,0,1,1,0.82,96.4,4905040,Low,1,77.8
